地区	指标	地区名	指标名	2009	2010	2011	2012	2013	2014	2015	2016	2017
360000	A070702	江西省	单位地区生产总值能耗(等价值)_同比增长	-4.54	na_rep	-3.08	na_rep	na_rep	na_rep	-3.92	na_rep	na_rep
360000	A070703	江西省	单位工业增加值能耗(规模以上当量值)	1.6740000000000002	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
360000	A070704	江西省	单位工业增加值能耗(规模以上当量值)_同比增长	-10.13	na_rep	-6.87	na_rep	na_rep	na_rep	-6.7	na_rep	na_rep
360000	A070705	江西省	单位地区生产总值电耗(等价值)	922.46	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
360000	A070706	江西省	单位地区生产总值电耗(等价值)_同比增长	-1.52	na_rep	2.3	na_rep	na_rep	na_rep	-2.12	na_rep	na_rep
370000	A070609	山东省	电力消费量	2941.0672	3298.46	3635.2555	3794.6	4083.1	4223.49	5117.04645122	5390.7472	5430.1595
370000	A070701	山东省	单位地区生产总值能耗(等价值)	1.072	1.025	0.855	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
370000	A070702	山东省	单位地区生产总值能耗(等价值)_同比增长	-5.46	na_rep	-3.77	na_rep	na_rep	na_rep	-3.72	na_rep	na_rep
370000	A070703	山东省	单位工业增加值能耗(规模以上当量值)	1.5430000000000001	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
370000	A070704	山东省	单位工业增加值能耗(规模以上当量值)_同比增长	-9.2	na_rep	-7.67	na_rep	na_rep	na_rep	-7.88	na_rep	na_rep
370000	A070705	山东省	单位地区生产总值电耗(等价值)	972.49	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
370000	A070706	山东省	单位地区生产总值电耗(等价值)_同比增长	-3.86	na_rep	-0.58	na_rep	na_rep	na_rep	-6.49	na_rep	na_rep
410000	A070609	河南省	电力消费量	2081.3756	2353.96	2659.1439	2747.7	2899.2	2919.57	2879.6157	2989.1526	3166.1685
410000	A070701	河南省	单位地区生产总值能耗(等价值)	1.156	1.115	0.895	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
410000	A070702	河南省	单位地区生产总值能耗(等价值)_同比增长	-6.16	na_rep	-3.57	na_rep	na_rep	na_rep	-6.57	na_rep	na_rep
410000	A070703	河南省	单位工业增加值能耗(规模以上当量值)	2.708	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
410000	A070704	河南省	单位工业增加值能耗(规模以上当量值)_同比增长	-11.56	na_rep	-8.6	na_rep	na_rep	na_rep	-11.54	na_rep	na_rep
410000	A070705	河南省	单位地区生产总值电耗(等价值)	1218.36	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
410000	A070706	河南省	单位地区生产总值电耗(等价值)_同比增长	-4.79	na_rep	1.27	na_rep	na_rep	na_rep	-8.94	na_rep	na_rep
420000	A070609	湖北省	电力消费量	1135.1268	1330.44	1450.761	1507.9	1629.8	1656.54	1665.1571	1763.1099	1868.9963
420000	A070701	湖北省	单位地区生产总值能耗(等价值)	1.23	1.183	0.912	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
420000	A070702	湖北省	单位地区生产总值能耗(等价值)_同比增长	-5.97	na_rep	-3.79	na_rep	na_rep	na_rep	-7.66	na_rep	na_rep
420000	A070703	湖北省	单位工业增加值能耗(规模以上当量值)	2.35	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
420000	A070704	湖北省	单位工业增加值能耗(规模以上当量值)_同比增长	-12.27	na_rep	-6.88	na_rep	na_rep	na_rep	-10.05	na_rep	na_rep
420000	A070705	湖北省	单位地区生产总值电耗(等价值)	1018.45	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep	na_rep
